|Item description|functional||brand|subbrand|variant|content|content_uom
1420|Ст/порошок "Миф" Голубая лагуна ручн/стирка 400 г карт/кор|Ст/порошок|0|Миф||Голубая лагуна ручн/стирка|400|г
1421|Ст/порошок "Миф" Морозная свежесть автомат 400 г карт/кор|Ст/порошок|0|Миф||Морозная свежесть автомат|400|г
1422|Ст/порошок "Ушастый нянь" с первых дней жизни 400 г карт/кор|Ст/порошок|0|Ушастый нянь||с первых дней жизни|400|г
1423|Ст/порошок для новорожденных "Special bebe" 500 г карт/кор|Ст/порошок|0|Special bebe||для новорожденных|500|г
1424|Стакан однораз. "Интеко"белые 200 мл 100 шт|Стакан однораз.|1|Интеко||белые|200|мл
1425|Стакан однораз. "Мистерия" прозр. 200 мл 200 шт|Стакан однораз.|0|Мистерия||прозр.|200|мл
1426|Стейк зубатки "Штурман КФ" св/мор. 0,4 кг|Стейк зубатки|1|Штурман КФ||св/мор.|0,4|кг
1427|Стейк семги "Дары моря" вак/уп св/мор 0,45 кг|Стейк семги|1|Дары моря||вак/уп св/мор|0,45|кг
1428|Стейк трески "Штурман КФ" св/мор. 0,5 кг|Стейк трески|1|Штурман КФ||св/мор.|0,5|кг
1429|Судак "Штурман КФ" филе на коже св/мор. 0,5 кг|Судак|1|Штурман КФ||филе на коже св/мор.|0,5|кг
1430|Суп "Горячая кружка"  куриная с вермишелью  12 г|Суп|1|Горячая кружка||куриная с вермишелью|12|г
1431|Суп "Горячая кружка" гороховый с сухариками 19 г|Суп|0|Горячая кружка||гороховый с сухариками|19|г
1432|Суп "Горячая кружка" грибной с сухариками 23 г|Суп|0|Горячая кружка||гибной с сухариками|23|г
1433|Суп "Горячая кружка" куриная с сухариками 19 г|Суп|0|Горячая кружка||куриная с сухариками|19|г
1434|Суп "Сытоедов" Борщ черниговский 300 гр карт/кор|Суп|0|Сытоедов||Борщ черниговский|300|г
1435|Суп "Сытоедов" Гороховый с говядиной 300 гр карт/кор|Суп|0|Сытоедов||Гороховый с говядиной|300|г
1436|Суп "Сытоедов" Лапша домашняя с курицей 300 гр карт/кор|Суп|0|Сытоедов||Лапша домашняя с курицей|300|г
1437|Суп "Сытоедов" Рассольник галицкий 300 гр карт/кор|Суп|0|Сытоедов||Рассольник галицкий|300|г
1438|Суп "Сытоедов" Солянка мясная по-Новгородски 300 гр карт/кор|Суп|0|Сытоедов||Солянка мясная по-Новгородски|300|г
1439|Суп "Сытоедов" Солянка рыбная по-царски 300 гр карт/кор|Суп|0|Сытоедов||Солянка рыбная по-царски|300|г
1440|Суп "Сытоедов" Харчо с бараниной 300 гр карт/кор|Суп|0|Сытоедов||Харчо с бараниной|300|г
1441|Суп "Сытоедов" Щи боярские 300 гр карт/кор|Суп|0|Сытоедов||Щи боярские|300|г
1442|Супер Кожа "Баги" 3 в 1 восстанавливает все виды кожи 500 мл|Супер Кожа|1|Баги|||500|мл
1443|Супер Кожа "Баги" 3 в 1 восстанавливает все виды кожи 500 мл|Супер Кожа|0|Баги|||501|мл
1444|Сухари "Звездный" Ванильные Звездные 350 г пакет|Сухари|1|Звездный||Ванильные Звездные|350|г
1445|Сухари "Звездный" Изюминка 350 г пакет|Сухари|0|Звездный||Изюминка|350|г
1446|Сухари "Звездный" Маковые 350 г пакет|Сухари|0|Звездный||Маковые|350|г
1447|Сухари "Звездный" Орешек 350 г пакет|Сухари|0|Звездный||Орешек|350|г
1448|Сухари "Звездный" Сливочные 350 г пакет|Сухари|0|Звездный||штивочные|350|г
1449|Сухари панировочные "ОЗБИ" 500 г|Сухари панировочные|1|ОЗБИ|||500|г
1450|Сухарики "Finn Crisp" бородинские с кориандром 85 г пакет|Сухарики|1|Finn Crisp||бородинские с кориандром|85|г
1451|Сухарики "Finn Crisp" многозерновые 175 г карт/кор|Сухарики|0|Finn Crisp||многозерновые|175|г
1452|Сухарики "Finn Crisp" ржаные с тмином 200 г карт/кор|Сухарики|0|Finn Crisp||ржаные с тмином|200|г
1453|Сухарики "Finn Crisp" ржаные с чесноком 175 г карт/кор|Сухарики|0|Finn Crisp||ржаные с чесноком|175|г
1454|Сухарики "Finn Crisp" ржаные 200 г карт/кор|Сухарики|0|Finn Crisp||ржаные|200|г
1455|Сухарики "Finn Crisp" ржаные 400 г карт/кор|Сухарики|0|Finn Crisp||ржаные|400|г
1456|Сухарики "Finn Crisp" 5 злаков 190 г карт/кор|Сухарики|0|Finn Crisp||5 злаков|190|г
1457|Сухарики "Три корочки" ржаные бекон  50 г|Сухарики|0|Три корочки||ржаные бекон|50|г
1458|Сухарики "Три корочки" ржаные жареный гусь  45 г|Сухарики|0|Три корочки||ржаные жареный гусь|45|г
1459|Сухарики "Три корочки" ржаные колбасные  50 г|Сухарики|0|Три корочки||ржаные колбасные|50|г
1460|Сухарики "Три корочки" ржаные семга /сыр  50 г|Сухарики|0|Три корочки||ржаные семга /сыр|50|г
1461|Сухарики "Три корочки" ржаные томат/зелень 50 г|Сухарики|0|Три корочки||ржаные томат/зелень|50|г
1462|Сухарики "Три корочки" ржаные холодец/хрен  50 г|Сухарики|0|Три корочки||ржаные холодец/хрен|50|г
1463|Сухарики "Три корочки" ржаные чеснок  45 г|Сухарики|0|Три корочки||ржаные чеснок|45|г
1464|Сушка кроха ванильные "Семейка Озби" 200 г|Сушка кроха ванильные|1|Семейка Озби|||200|г
1465|Сушка кроха простые "Семейка Озби" 200 г|Сушка кроха простые|1|Семейка Озби|||200|г
1466|Сушка кроха с маком "Семейка Озби" 200 г|Сушка кроха с маком|1|Семейка Озби|||200|г
1467|Сушка простая "Малышка" 800 г|Сушка простая|1|Малышка|||800|г
1468|Сушка челночок "Семейка Озби" 200 г|Сушка челночок|1|Семейка Озби|||200|г
1469|Сушки "ОЗБИ" Останкинские с солью 200 г|Сушки|1|ОЗБИ||Останкинские с солью|200|г
1470|Сыр "Гауда" 0,42 кг|Сыр|1|unbranded||Гауда|0,42|кг
1471|Сыр "Ламбер" 1 кг|Сыр|0|unbranded||Ламбер|1|кг
1472|Сыр "Маасдам" 0,34 кг|Сыр|0|unbranded||Маасдам|0,34|кг
1473|Сыр "Пармезан" 0,39 кг|Сыр|0|unbranded||Пармезан|0,39|кг
1474|Сыр "Тильзитер" 0,63 кг|Сыр|0|unbranded||Тильзитер|0,63|кг
1475|Сыр плавленный "Ростагроэкспорт" для супа с Луком 100 гр пл/б|Сыр плавленный|1|Ростагроэкспорт||для супа с Луком|100|г
1476|Сыр плавленый "Hochland" Ассорти Деликатесное (8 порц.) 140 г|Сыр плавленый|1|Hochland||Ассорти Деликатесное (|140|г
1477|Сыр плавленый "Hochland" Ассорти желтое (8 порц.) 140 г|Сыр плавленый|0|Hochland||Ассорти желтое (|141|г
1478|Сыр плавленый "Hochland" Ассорти зеленое (8 порц.) 140 г|Сыр плавленый|0|Hochland||Ассорти зеленое (|142|г
